R,Exact,LDG,LDGQ,LDP,LDPQ,WD
0.1715,1.493384E+00,1.493409E+00,1.493411E+00,1.494756E+00,1.495132E+00,1.494339E+00
0.1725,1.493642E+00,1.493667E+00,1.493670E+00,1.494995E+00,1.495371E+00,1.494585E+00
0.1735,1.493902E+00,1.493926E+00,1.493930E+00,1.495237E+00,1.495612E+00,1.494832E+00
0.1745,1.494164E+00,1.494186E+00,1.494192E+00,1.495481E+00,1.495855E+00,1.495081E+00
0.1755,1.494427E+00,1.494449E+00,1.494455E+00,1.495726E+00,1.496099E+00,1.495332E+00
0.1765,1.494692E+00,1.494712E+00,1.494720E+00,1.495974E+00,1.496345E+00,1.495584E+00
0.1775,1.494958E+00,1.494978E+00,1.494987E+00,1.496223E+00,1.496593E+00,1.495838E+00
0.1785,1.495226E+00,1.495245E+00,1.495255E+00,1.496474E+00,1.496843E+00,1.496094E+00
0.1795,1.495495E+00,1.495513E+00,1.495524E+00,1.496727E+00,1.497094E+00,1.496351E+00
0.1805,1.495766E+00,1.495784E+00,1.495796E+00,1.496982E+00,1.497347E+00,1.496610E+00
0.1815,1.496039E+00,1.496055E+00,1.496068E+00,1.497239E+00,1.497602E+00,1.496870E+00
0.1825,1.496313E+00,1.496329E+00,1.496343E+00,1.497497E+00,1.497858E+00,1.497132E+00
0.1835,1.496589E+00,1.496604E+00,1.496619E+00,1.497758E+00,1.498116E+00,1.497395E+00
0.1845,1.496866E+00,1.496880E+00,1.496896E+00,1.498020E+00,1.498376E+00,1.497660E+00
0.1855,1.497145E+00,1.497158E+00,1.497175E+00,1.498284E+00,1.498638E+00,1.497927E+00
0.1865,1.497426E+00,1.497438E+00,1.497456E+00,1.498550E+00,1.498901E+00,1.498196E+00
0.1875,1.497708E+00,1.497720E+00,1.497738E+00,1.498818E+00,1.499166E+00,1.498466E+00
0.1885,1.497991E+00,1.498003E+00,1.498022E+00,1.499088E+00,1.499433E+00,1.498737E+00
0.1895,1.498277E+00,1.498287E+00,1.498308E+00,1.499360E+00,1.499701E+00,1.499010E+00
0.1905,1.498563E+00,1.498573E+00,1.498595E+00,1.499633E+00,1.499972E+00,1.499285E+00
0.1915,1.498852E+00,1.498861E+00,1.498883E+00,1.499908E+00,1.500244E+00,1.499562E+00
