R,LDG,LDGQ,LDP,LDPQ,WD
0.0483,1.86E-04,1.42E-06,5.88E-03,2.13E-03,1.03E-03
0.0485,1.85E-04,1.44E-06,5.86E-03,2.14E-03,1.03E-03
0.0487,1.85E-04,1.45E-06,5.85E-03,2.14E-03,1.03E-03
0.0489,1.85E-04,1.46E-06,5.83E-03,2.14E-03,1.03E-03
0.0491,1.85E-04,1.47E-06,5.82E-03,2.15E-03,1.03E-03
0.0493,1.84E-04,1.48E-06,5.80E-03,2.15E-03,1.04E-03
0.0495,1.84E-04,1.50E-06,5.79E-03,2.15E-03,1.04E-03
0.0497,1.84E-04,1.51E-06,5.77E-03,2.16E-03,1.04E-03
0.0499,1.84E-04,1.52E-06,5.76E-03,2.16E-03,1.04E-03
0.0501,1.83E-04,1.53E-06,5.75E-03,2.16E-03,1.04E-03
0.0503,1.83E-04,1.54E-06,5.73E-03,2.17E-03,1.05E-03
0.0505,1.83E-04,1.56E-06,5.72E-03,2.17E-03,1.05E-03
0.0507,1.83E-04,1.57E-06,5.70E-03,2.17E-03,1.05E-03
0.0509,1.82E-04,1.58E-06,5.69E-03,2.18E-03,1.05E-03
0.0511,1.82E-04,1.59E-06,5.67E-03,2.18E-03,1.05E-03
0.0513,1.82E-04,1.61E-06,5.66E-03,2.18E-03,1.06E-03
0.0515,1.82E-04,1.62E-06,5.64E-03,2.19E-03,1.06E-03
0.0517,1.81E-04,1.63E-06,5.63E-03,2.19E-03,1.06E-03
0.0519,1.81E-04,1.65E-06,5.62E-03,2.19E-03,1.06E-03
0.0521,1.81E-04,1.66E-06,5.60E-03,2.20E-03,1.06E-03
0.0523,1.80E-04,1.67E-06,5.59E-03,2.20E-03,1.06E-03
0.0525,1.80E-04,1.68E-06,5.57E-03,2.20E-03,1.07E-03
0.0527,1.80E-04,1.70E-06,5.56E-03,2.21E-03,1.07E-03
0.0529,1.80E-04,1.71E-06,5.55E-03,2.21E-03,1.07E-03
0.0531,1.79E-04,1.72E-06,5.53E-03,2.21E-03,1.07E-03
0.0533,1.79E-04,1.74E-06,5.52E-03,2.21E-03,1.07E-03
0.0535,1.79E-04,1.75E-06,5.50E-03,2.22E-03,1.07E-03
0.0537,1.79E-04,1.76E-06,5.49E-03,2.22E-03,1.08E-03
