R,LDG,LDGQ,LDP,LDPQ,WD
0.1655,3.88E-04,4.15E-05,5.44E-03,3.90E-03,2.01E-03
0.1665,3.85E-04,4.19E-05,5.40E-03,3.89E-03,2.01E-03
0.1675,3.82E-04,4.24E-05,5.36E-03,3.87E-03,2.00E-03
0.1685,3.79E-04,4.28E-05,5.33E-03,3.85E-03,1.99E-03
0.1695,3.76E-04,4.32E-05,5.29E-03,3.84E-03,1.98E-03
0.1705,3.73E-04,4.37E-05,5.25E-03,3.82E-03,1.97E-03
0.1715,3.70E-04,4.41E-05,5.22E-03,3.80E-03,1.97E-03
0.1725,3.68E-04,4.46E-05,5.19E-03,3.78E-03,1.96E-03
0.1735,3.65E-04,4.50E-05,5.15E-03,3.77E-03,1.95E-03
0.1745,3.62E-04,4.55E-05,5.12E-03,3.75E-03,1.94E-03
0.1755,3.60E-04,4.59E-05,5.08E-03,3.73E-03,1.93E-03
0.1765,3.57E-04,4.64E-05,5.05E-03,3.71E-03,1.92E-03
0.1775,3.54E-04,4.68E-05,5.02E-03,3.70E-03,1.91E-03
0.1785,3.52E-04,4.73E-05,4.99E-03,3.68E-03,1.90E-03
0.1795,3.49E-04,4.78E-05,4.95E-03,3.66E-03,1.90E-03
0.1805,3.47E-04,4.82E-05,4.92E-03,3.64E-03,1.89E-03
0.1815,3.45E-04,4.87E-05,4.89E-03,3.63E-03,1.88E-03
0.1825,3.42E-04,4.91E-05,4.86E-03,3.61E-03,1.87E-03
0.1835,3.40E-04,4.96E-05,4.83E-03,3.59E-03,1.86E-03
0.1845,3.38E-04,5.01E-05,4.80E-03,3.57E-03,1.85E-03
0.1855,3.35E-04,5.06E-05,4.77E-03,3.56E-03,1.84E-03
0.1865,3.33E-04,5.10E-05,4.74E-03,3.54E-03,1.83E-03
0.1875,3.31E-04,5.15E-05,4.71E-03,3.52E-03,1.82E-03
0.1885,3.29E-04,5.20E-05,4.69E-03,3.50E-03,1.81E-03
0.1895,3.27E-04,5.24E-05,4.66E-03,3.49E-03,1.80E-03
0.1905,3.25E-04,5.29E-05,4.63E-03,3.47E-03,1.79E-03
0.1915,3.23E-04,5.34E-05,4.60E-03,3.45E-03,1.79E-03
0.1925,3.21E-04,5.39E-05,4.58E-03,3.43E-03,1.78E-03
0.1935,3.19E-04,5.44E-05,4.55E-03,3.42E-03,1.77E-03
0.1945,3.17E-04,5.48E-05,4.52E-03,3.40E-03,1.76E-03
0.1955,3.15E-04,5.53E-05,4.50E-03,3.38E-03,1.75E-03
0.1965,3.13E-04,5.58E-05,4.47E-03,3.37E-03,1.74E-03
0.1975,3.11E-04,5.63E-05,4.44E-03,3.35E-03,1.73E-03
0.1985,3.10E-04,5.68E-05,4.42E-03,3.33E-03,1.72E-03
0.1995,3.08E-04,5.73E-05,4.39E-03,3.31E-03,1.71E-03
0.2005,3.06E-04,5.77E-05,4.37E-03,3.30E-03,1.70E-03
0.2015,3.05E-04,5.82E-05,4.34E-03,3.28E-03,1.69E-03
0.2025,3.03E-04,5.87E-05,4.32E-03,3.26E-03,1.68E-03
0.2035,3.02E-04,5.92E-05,4.30E-03,3.25E-03,1.67E-03
0.2045,3.00E-04,5.97E-05,4.27E-03,3.23E-03,1.66E-03
0.2055,2.98E-04,6.02E-05,4.25E-03,3.21E-03,1.65E-03
0.2065,2.97E-04,6.07E-05,4.23E-03,3.20E-03,1.64E-03
0.2075,2.96E-04,6.12E-05,4.20E-03,3.18E-03,1.63E-03
0.2085,2.94E-04,6.17E-05,4.18E-03,3.16E-03,1.63E-03
0.2095,2.93E-04,6.22E-05,4.16E-03,3.15E-03,1.62E-03
0.2105,2.91E-04,6.27E-05,4.14E-03,3.13E-03,1.61E-03
0.2115,2.90E-04,6.32E-05,4.11E-03,3.12E-03,1.60E-03
0.2125,2.89E-04,6.36E-05,4.09E-03,3.10E-03,1.59E-03
0.2135,2.87E-04,6.41E-05,4.07E-03,3.08E-03,1.58E-03
0.2145,2.86E-04,6.46E-05,4.05E-03,3.07E-03,1.57E-03
0.2155,2.85E-04,6.51E-05,4.03E-03,3.05E-03,1.56E-03
0.2165,2.84E-04,6.56E-05,4.01E-03,3.04E-03,1.55E-03
0.2175,2.83E-04,6.61E-05,3.99E-03,3.02E-03,1.54E-03
0.2185,2.81E-04,6.66E-05,3.97E-03,3.00E-03,1.53E-03
0.2195,2.80E-04,6.71E-05,3.95E-03,2.99E-03,1.52E-03
0.2205,2.79E-04,6.76E-05,3.93E-03,2.97E-03,1.52E-03
0.2215,2.78E-04,6.81E-05,3.91E-03,2.96E-03,1.51E-03
0.2225,2.77E-04,6.86E-05,3.89E-03,2.94E-03,1.50E-03
0.2235,2.76E-04,6.91E-05,3.87E-03,2.93E-03,1.49E-03
0.2245,2.75E-04,6.96E-05,3.85E-03,2.91E-03,1.48E-03
0.2255,2.74E-04,7.01E-05,3.83E-03,2.90E-03,1.47E-03
0.2265,2.73E-04,7.06E-05,3.81E-03,2.88E-03,1.46E-03
0.2275,2.72E-04,7.10E-05,3.80E-03,2.87E-03,1.45E-03
0.2285,2.71E-04,7.15E-05,3.78E-03,2.85E-03,1.45E-03
0.2295,2.70E-04,7.20E-05,3.76E-03,2.84E-03,1.44E-03
0.2305,2.69E-04,7.25E-05,3.74E-03,2.83E-03,1.43E-03
0.2315,2.69E-04,7.30E-05,3.72E-03,2.81E-03,1.42E-03
0.2325,2.68E-04,7.35E-05,3.71E-03,2.80E-03,1.41E-03
0.2335,2.67E-04,7.40E-05,3.69E-03,2.78E-03,1.40E-03
0.2345,2.66E-04,7.44E-05,3.67E-03,2.77E-03,1.40E-03
0.2355,2.65E-04,7.49E-05,3.65E-03,2.76E-03,1.39E-03
0.2365,2.64E-04,7.54E-05,3.64E-03,2.74E-03,1.38E-03
0.2375,2.64E-04,7.59E-05,3.62E-03,2.73E-03,1.37E-03
0.2385,2.63E-04,7.64E-05,3.60E-03,2.71E-03,1.36E-03
0.2395,2.62E-04,7.68E-05,3.59E-03,2.70E-03,1.36E-03
0.2405,2.61E-04,7.73E-05,3.57E-03,2.69E-03,1.35E-03
0.2415,2.60E-04,7.78E-05,3.55E-03,2.67E-03,1.34E-03
0.2425,2.60E-04,7.82E-05,3.54E-03,2.66E-03,1.33E-03
0.2435,2.59E-04,7.87E-05,3.52E-03,2.65E-03,1.33E-03
0.2445,2.58E-04,7.92E-05,3.51E-03,2.63E-03,1.32E-03
0.2455,2.57E-04,7.96E-05,3.49E-03,2.62E-03,1.31E-03
0.2465,2.57E-04,8.01E-05,3.48E-03,2.61E-03,1.30E-03
0.2475,2.56E-04,8.05E-05,3.46E-03,2.60E-03,1.30E-03
0.2485,2.55E-04,8.10E-05,3.45E-03,2.58E-03,1.29E-03
0.2495,2.55E-04,8.14E-05,3.43E-03,2.57E-03,1.28E-03
0.2505,2.54E-04,8.19E-05,3.42E-03,2.56E-03,1.27E-03
0.2515,2.53E-04,8.23E-05,3.40E-03,2.55E-03,1.27E-03
0.2525,2.52E-04,8.28E-05,3.39E-03,2.53E-03,1.26E-03
0.2535,2.52E-04,8.32E-05,3.37E-03,2.52E-03,1.25E-03
0.2545,2.51E-04,8.36E-05,3.36E-03,2.51E-03,1.25E-03
0.2555,2.50E-04,8.41E-05,3.34E-03,2.50E-03,1.24E-03
0.2565,2.50E-04,8.45E-05,3.33E-03,2.49E-03,1.23E-03
0.2575,2.49E-04,8.49E-05,3.32E-03,2.48E-03,1.23E-03
0.2585,2.48E-04,8.53E-05,3.30E-03,2.46E-03,1.22E-03
0.2595,2.48E-04,8.58E-05,3.29E-03,2.45E-03,1.22E-03
0.2605,2.47E-04,8.62E-05,3.27E-03,2.44E-03,1.21E-03
0.2615,2.46E-04,8.66E-05,3.26E-03,2.43E-03,1.20E-03
0.2625,2.46E-04,8.70E-05,3.25E-03,2.42E-03,1.20E-03
0.2635,2.45E-04,8.74E-05,3.23E-03,2.41E-03,1.19E-03
0.2645,2.44E-04,8.78E-05,3.22E-03,2.40E-03,1.19E-03
0.2655,2.44E-04,8.82E-05,3.21E-03,2.39E-03,1.18E-03
0.2665,2.43E-04,8.86E-05,3.19E-03,2.37E-03,1.18E-03
0.2675,2.42E-04,8.89E-05,3.18E-03,2.36E-03,1.17E-03
0.2685,2.41E-04,8.93E-05,3.17E-03,2.35E-03,1.16E-03
0.2695,2.41E-04,8.97E-05,3.16E-03,2.34E-03,1.16E-03
0.2705,2.40E-04,9.01E-05,3.14E-03,2.33E-03,1.15E-03
0.2715,2.39E-04,9.04E-05,3.13E-03,2.32E-03,1.15E-03
0.2725,2.39E-04,9.08E-05,3.12E-03,2.31E-03,1.14E-03
0.2735,2.38E-04,9.11E-05,3.11E-03,2.30E-03,1.14E-03
0.2745,2.37E-04,9.15E-05,3.09E-03,2.29E-03,1.13E-03
0.2755,2.37E-04,9.18E-05,3.08E-03,2.28E-03,1.13E-03
0.2765,2.36E-04,9.22E-05,3.07E-03,2.27E-03,1.12E-03
0.2775,2.35E-04,9.25E-05,3.06E-03,2.26E-03,1.12E-03
0.2785,2.35E-04,9.28E-05,3.05E-03,2.25E-03,1.12E-03
0.2795,2.34E-04,9.31E-05,3.03E-03,2.24E-03,1.11E-03
0.2805,2.33E-04,9.35E-05,3.02E-03,2.23E-03,1.11E-03
0.2815,2.32E-04,9.38E-05,3.01E-03,2.22E-03,1.10E-03
0.2825,2.32E-04,9.41E-05,3.00E-03,2.21E-03,1.10E-03
0.2835,2.31E-04,9.44E-05,2.99E-03,2.21E-03,1.09E-03
0.2845,2.30E-04,9.47E-05,2.98E-03,2.20E-03,1.09E-03
0.2855,2.30E-04,9.50E-05,2.96E-03,2.19E-03,1.09E-03
0.2865,2.29E-04,9.52E-05,2.95E-03,2.18E-03,1.08E-03
0.2875,2.28E-04,9.55E-05,2.94E-03,2.17E-03,1.08E-03
0.2885,2.27E-04,9.58E-05,2.93E-03,2.16E-03,1.08E-03
0.2895,2.27E-04,9.60E-05,2.92E-03,2.15E-03,1.07E-03
0.2905,2.26E-04,9.63E-05,2.91E-03,2.14E-03,1.07E-03
0.2915,2.25E-04,9.65E-05,2.90E-03,2.13E-03,1.07E-03
0.2925,2.24E-04,9.68E-05,2.89E-03,2.13E-03,1.06E-03
0.2935,2.24E-04,9.70E-05,2.88E-03,2.12E-03,1.06E-03
0.2945,2.23E-04,9.72E-05,2.87E-03,2.11E-03,1.06E-03
0.2955,2.22E-04,9.75E-05,2.85E-03,2.10E-03,1.05E-03
0.2965,2.22E-04,9.77E-05,2.84E-03,2.09E-03,1.05E-03
0.2975,2.21E-04,9.79E-05,2.83E-03,2.08E-03,1.05E-03
0.2985,2.20E-04,9.81E-05,2.82E-03,2.08E-03,1.04E-03
0.2995,2.19E-04,9.83E-05,2.81E-03,2.07E-03,1.04E-03
0.3005,2.19E-04,9.85E-05,2.80E-03,2.06E-03,1.04E-03
